path,h1,char_count,status
articles/spending-habits-change.html,"소비 습관 바꾸는 방법, 지출을 참기보다 구조를 바꾸세요",3025,재점검
articles/card-points-cashback-guide.html,"카드 포인트와 캐시백 활용법, 혜택보다 먼저 확인할 것",3322,재점검
articles/impulse-buying-control.html,"충동구매 줄이는 현실적인 방법, 결제 전 24시간 규칙부터 시작하세요",3459,재점검
articles/cash-advance-vs-card-loan.html,"현금서비스와 카드론 차이, 급하게 돈이 필요할 때 먼저 확인할 것",3472,재점검
articles/unemployment-benefit-checklist.html,실업급여 신청 전 확인할 조건과 준비서류 체크리스트,3491,재점검
articles/severance-pay-calculation-guide.html,"퇴직금 계산 방법, 평균임금과 재직기간을 확인하는 순서",3515,재점검
articles/telecom-unclaimed-refund.html,통신비 미환급금 조회 방법,3573,재점검
articles/money-saving-habits.html,돈이 모이는 생활 습관,3576,재점검
articles/weekly-holiday-pay-guide.html,"주휴수당 조건과 계산 방법, 내가 받을 수 있는지 확인하는 순서",3657,재점검
articles/business-phone-expense-deduction.html,"사업자 통신비 비용처리 기준, 휴대전화 요금과 단말기 증빙 정리",3710,재점검
articles/government24-benefit-check.html,"정부24 보조금24 혜택 조회 방법, 나와 가족 지원금 찾기",3724,재점검
articles/hometax-refund-status.html,"홈택스 환급 진행상황 조회 방법, 지급 지연 원인까지 확인하세요",3814,재점검
articles/government-benefit-alert-setup.html,"정부24 혜택알리미 설정 방법, 맞춤 혜택과 알림 수신 관리",3962,재점검
articles/student-loan-repayment-guide.html,학자금대출 상환 방법과 부담 줄이는 순서,3973,재점검
articles/salary-slip-check-guide.html,"급여명세서 확인 방법, 월급에서 빠진 돈을 항목별로 보는 순서",4068,재점검
articles/government-support-calendar.html,"정부지원금 신청 일정 관리 방법, 마감일·갱신일 놓치지 않는 달력 만들기",4129,재점검
